game_id,rated,treat_type,chat_type,gametime_seconds,status,maia_color,maia_name,maia_avg_move_time,opp_avg_move_time,opp_avg_move_time_3+,opp_avg_move_time_3only,num_moves,opp_name_hashed,opp_name,winner,maia_rating,maia_acc,maia_blunders,maia_mistakes,maia_acpl,maia_inacc,opp_rating,opp_acc,opp_blunders,opp_mistakes,opp_acpl,opp_inacc,respond,game_chats
0HurwUHZ,True,0,Control,697.847,mate,white,bcu_555,5.76,11.93,12.55,8.56,78,7194941269865177474,Puker_Franklin,maia,1494,80,4,1,67,4,1511,75,6,1,89,5,False,"[]
"
0Q0uhjhF,True,1,Placebo,407.992,draw,black,bcu_555,6.88,9.62,10.44,8.08,49,-7027732410958625711,Wuerfelix_SLT,draw,1491,74,3,2,58,2,1457,75,1,4,62,4,True,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""bananas are berries"",""user"":""bcu_555""},{""text"":""hey interesting statement, but yes"",""user"":""wuerfelix_slt""},{""text"":""good luck"",""user"":""wuerfelix_slt""},{""text"":""i like swimming"",""user"":""bcu_555""},{""text"":""i have to go to the grocery store after this"",""user"":""bcu_555""}]
"
0W8omQeM,True,1,Chatty,463.417,mate,black,bcu_555,5.58,6.26,6.48,2.48,76,5857913645587372900,Asparuj,opp,1609,75,1,1,52,4,1590,88,2,2,30,2,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""bcu_555""},{""text"":""uh oh..."",""user"":""bcu_555""},{""text"":""nice coordination"",""user"":""bcu_555""},{""text"":""things arent looking good"",""user"":""bcu_555""}]
"
0Zmps65w,True,1,Placebo,153.514,mate,black,bcu_555,5.1,4.71,4.75,2.0,30,8445112753371578615,josealan2008,opp,1527,53,1,0,91,1,1508,88,1,0,28,1,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""bananas are berries"",""user"":""bcu_555""},{""text"":""i like swimming"",""user"":""bcu_555""}]
"
2SI2PSul,True,1,Chatty,74.629,mate,black,bcu_555,6.12,1.25,1.34,6.24,20,4169602947250850106,Obeys,opp,1500,23,1,0,164,1,1524,64,2,0,68,0,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""bcu_555""}]
"
3GPkmzOm,True,1,Placebo,780.391,draw,white,bcu_555,5.43,9.6,9.43,6.16,102,4442128155394650360,AshokAthani,draw,1552,82,4,1,48,6,1522,83,3,3,47,5,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""bananas are berries"",""user"":""bcu_555""},{""text"":""i like swimming"",""user"":""bcu_555""},{""text"":""i have to go to the grocery store after this"",""user"":""bcu_555""},{""text"":""my cat's name is alex"",""user"":""bcu_555""}]
"
3xKNr9Jo,True,0,Control,644.943,mate,black,bcu_555,5.76,3.73,3.77,8.56,134,-1624059341773301931,Gahryman,opp,1521,70,7,2,85,9,1550,74,11,1,73,4,False,"[]
"
4cYMwwHF,True,1,Chatty,631.263,mate,white,bcu_555,5.76,5.62,5.8,9.44,109,167226092475526749,GIVCHIK,opp,1511,80,4,1,61,8,1499,84,2,0,50,11,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""bcu_555""},{""text"":""uh oh..."",""user"":""bcu_555""},{""text"":""nice coordination"",""user"":""bcu_555""},{""text"":""things arent looking good"",""user"":""bcu_555""}]
"
4Ft3kKoo,True,0,Control,378.723,mate,white,bcu_555,4.75,4.28,4.14,3.92,79,-2513487577302481037,tron_apis,opp,1541,76,2,0,39,4,1566,93,0,2,15,3,False,"[]
"
4iIGhQ7w,True,0,Control,634.416,mate,black,bcu_555,5.92,2.72,2.74,6.4,144,-1104107864087428942,VovaGavr,opp,1559,85,2,2,34,4,1530,91,3,1,22,6,False,"[]
"
4LY9K8NX,True,1,Chatty,220.282,resign,black,bcu_555,5.24,7.66,8.59,6.0,33,3273434753751421484,Aidil_Fikri,maia,1521,95,0,0,17,1,1525,73,1,0,49,0,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""bcu_555""},{""text"":""uh oh..."",""user"":""bcu_555""}]
"
4VQd96Gn,True,1,Chatty,572.458,mate,black,bcu_555,5.8,12.45,13.05,6.48,62,8504404534879303616,nialldevlin,opp,1469,71,1,1,80,5,1414,85,1,1,51,5,True,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""bcu_555""},{""text"":""uh oh..."",""user"":""bcu_555""},{""text"":""nice coordination"",""user"":""bcu_555""},{""text"":""things arent looking good"",""user"":""bcu_555""},{""text"":""not looking good at all!"",""user"":""nialldevlin""}]
"
4WqfmUMb,True,1,Placebo,269.599,resign,white,bcu_555,5.34,11.41,9.8,4.56,32,4913375027624656948,Federico_Belvedere,maia,1491,95,0,0,22,1,1466,74,1,0,81,3,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""bananas are berries"",""user"":""bcu_555""},{""text"":""i like swimming"",""user"":""bcu_555""}]
"
51ydZUOy,True,1,Chatty,333.209,resign,white,bcu_555,5.32,7.8,8.34,1.76,51,5245419047255225410,khalidabdullah1,maia,1503,58,5,2,123,0,1459,44,5,1,165,4,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""bcu_555""},{""text"":""uh oh..."",""user"":""bcu_555""},{""text"":""nice coordination"",""user"":""bcu_555""},{""text"":""things arent looking good"",""user"":""bcu_555""}]
"
58vRHNfc,True,0,Control,191.356,resign,black,bcu_555,4.63,7.65,8.63,8.56,30,-5491340431104663819,the_italiaan,maia,1463,86,1,0,36,1,1459,66,2,2,76,0,False,"[]
"
