game_id,rated,treat_type,chat_type,gametime_seconds,status,maia_color,maia_name,maia_avg_move_time,opp_avg_move_time,opp_avg_move_time_3+,opp_avg_move_time_3only,num_moves,opp_name_hashed,opp_name,winner,maia_rating,maia_acc,maia_blunders,maia_mistakes,maia_acpl,maia_inacc,opp_rating,opp_acc,opp_blunders,opp_mistakes,opp_acpl,opp_inacc,opp_avg_move_time_4only,respond,game_chats
0lTMdnBk,True,1,ChatGPT,53.269,outoftime,white,bcu_555,8.48,200.01,590.95,8.88,7,4255855964418794026,Toldo_Slava,maia,1549,92,0,0,21,0,1595,73,0,1,48,0,,False,"[{""text"":""hey"",""user"":""bcu_555""}]
"
2KYe6Wrq,True,1,ChatGPT,87.499,outoftime,white,bcu_555,5.37,75.0,99.41,5.04,17,1248977914994653061,buckwildbill,maia,1606,80,0,1,27,0,1631,51,1,0,82,1,2.08,False,"[{""text"":""hey"",""user"":""bcu_555""},{""text"":""how are you doing?"",""user"":""bcu_555""}]
"
2VP0Z3gz,True,0,Control GPT,831.224,draw,white,bcu_555,5.6,4.75,4.84,3.12,156,723076580933049180,haslbua,draw,1602,83,3,1,39,8,1565,83,4,1,40,4,6.24,False,"[]
"
4ORKOIm2,True,0,Control GPT,499.171,mate,white,bcu_555,5.69,7.17,7.38,2.64,76,-4500814784443783517,Reutter,maia,1569,87,2,1,46,4,1569,76,4,2,70,1,6.96,False,"[]
"
59ufDYMj,True,0,Control GPT,424.077,resign,white,bcu_555,6.03,14.31,15.37,8.0,41,-4759908713482474123,YarrMeCheckMatey,maia,1636,94,0,0,18,2,1634,76,1,0,42,1,3.92,False,"[]
"
6PZ3ZCXt,True,1,ChatGPT,436.827,mate,white,bcu_555,6.05,11.8,12.4,9.04,47,297881435033111677,moh5ed88,opp,1630,69,3,0,77,3,1613,83,1,1,36,2,3.6,True,"[{""text"":""hey"",""user"":""bcu_555""},{""text"":""hi"",""user"":""moh5ed88""},{""text"":""hey there! just made a killer move, didnt i? hows it going?"",""user"":""bcu_555""},{""text"":""we will see"",""user"":""moh5ed88""},{""text"":""always up for some suspense! hey, do you prefer calling the knight a horse too?"",""user"":""bcu_555""},{""text"":""where are you from?"",""user"":""bcu_555""},{""text"":""don't talk when you play chess"",""user"":""moh5ed88""},{""text"":""oops, sorry about that! just here for some fun banter between moves. seen any good movies lately?"",""user"":""bcu_555""},{""text"":""know any fun facts?"",""user"":""bcu_555""},{""text"":""nice coordination"",""user"":""bcu_555""}]
"
6s4u1f92,True,0,Control GPT,248.72,resign,white,bcu_555,6.38,5.77,5.84,5.12,39,-6643316858452789161,Orweezy,maia,1611,75,2,0,47,3,1613,57,2,1,87,2,4.72,False,"[]
"
74FHzrQ4,True,0,Control GPT,520.001,mate,black,bcu_555,5.98,7.81,8.13,6.16,71,-2320862248821994336,aminooooooooo,maia,1563,71,4,1,67,3,1537,67,6,1,94,1,2.0,False,"[]
"
7iyjsPjj,True,1,ChatGPT,407.878,resign,black,bcu_555,5.59,11.98,12.97,6.72,48,-2615338947902571610,PawnService,maia,1513,47,3,0,105,0,1459,44,3,3,141,3,9.68,True,"[{""text"":""hey"",""user"":""bcu_555""},{""text"":""how are you doing?"",""user"":""bcu_555""},{""text"":""where are you from?"",""user"":""bcu_555""},{""text"":""know any fun facts?"",""user"":""bcu_555""},{""text"":""india now in canada guy 36"",""user"":""pawnservice""},{""text"":""fun fact canada is not full of polar bears"",""user"":""pawnservice""},{""text"":""oh really? i always thought thered be a couple strolling around, eh? whats your favorite thing about canada?"",""user"":""bcu_555""},{""text"":""less people less problems"",""user"":""pawnservice""},{""text"":""smaller crowd, bigger piece of cake, right? by the way, ever played chess with a seal?"",""user"":""bcu_555""},{""text"":""nice coordination"",""user"":""bcu_555""}]
"
8x881ar1,True,0,Control GPT,420.971,resign,black,bcu_555,6.17,12.85,13.99,2.8,44,-2032255895306301534,supstef,maia,1623,92,0,0,20,2,1617,74,1,1,45,1,7.28,False,"[]
"
