ID,Start time,Completion time,Email,Name,Which team do you contribute to?,"On my team, information is actively sought ","On my team, I feel I can deliver bad news or news of a failure without retribution","On my team, responsibilities are shared","On my team, cross-functional collaboration is encouraged and rewarded","On my team, failure leads to learning","On my team, new ideas are welcomed",Is there any additional information to help frame your submissions above? Examples?
1,2/8/21 13:58:28,2/8/21 13:59:03,anonymous,,SAT - Roadmap Rejects,,,,,,,
2,2/8/21 13:58:34,2/8/21 13:59:33,anonymous,,SAT - The Sims,,,,,,,
3,2/8/21 13:58:25,2/8/21 13:59:45,anonymous,,Enabling - Konnect,,,,,,,
4,2/8/21 13:59:15,2/8/21 13:59:59,anonymous,,Platform - Covert DevOps,,,,,,,
5,2/8/21 13:58:50,2/8/21 14:00:31,anonymous,,Platform - Coral,,,,,,,
6,2/8/21 13:58:40,2/8/21 14:00:33,anonymous,,Platform - Four,,,,,,,
7,2/8/21 14:00:02,2/8/21 14:00:36,anonymous,,Platform - Four,,,,,,,
8,2/8/21 13:59:59,2/8/21 14:00:38,anonymous,,SAT - The Survivors,,,,,,,
9,2/8/21 14:00:33,2/8/21 14:01:01,anonymous,,SAT - T-Wrecks,,,,,,,
10,2/8/21 14:00:14,2/8/21 14:01:17,anonymous,,Platform - Four,,,,,,,
11,2/8/21 14:00:40,2/8/21 14:01:21,anonymous,,SAT - LATTE,,,,,,,
12,2/8/21 14:01:24,2/8/21 14:01:43,anonymous,,Platform - Four,,,,,,,
13,2/8/21 14:01:47,2/8/21 14:02:11,anonymous,,SAT - T-Wrecks,,,,,,,
14,2/8/21 14:00:50,2/8/21 14:02:22,anonymous,,SAT - The Pharside,,,,,,,
15,2/8/21 14:01:43,2/8/21 14:02:23,anonymous,,SAT - The Sims,,,,,,,
16,2/8/21 14:00:29,2/8/21 14:02:26,anonymous,,Platform - Four,,,,,,,
17,2/8/21 13:58:55,2/8/21 14:02:47,anonymous,,SAT - The Survivors,,,,,,,
18,2/8/21 14:03:05,2/8/21 14:03:44,anonymous,,Complicated Subsystem - OID,,,,,,,
19,2/8/21 14:03:46,2/8/21 14:04:08,anonymous,,SAT - The Pharside,,,,,,,
20,2/8/21 14:04:37,2/8/21 14:05:13,anonymous,,Platform - Four,,,,,,,
